City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tuatapere,-46.1323096,167.6907627,12.18,81,100,2.47,NZ,1647611897
touros,-5.1998625,-35.4595051,29.36,67,100,6.4,BR,1647611901
henties bay,-22.1130313,14.2881683522115,20.92,71,6,4.61,NA,1647611902
inverell,-29.43679805,151.17706931836153,16.45,87,4,4.17,AU,1647611903
rio gallegos,-51.64607595,-69.26322885452636,5.04,81,75,5.66,AR,1647611905
giyani,-23.315278,30.725556,25.48,47,100,4.27,ZA,1647611910
auki,-8.7706074,160.6992655,25.45,86,84,1.74,SB,1647611916
coquimbo,-29.9531928,-71.3379884,18.93,68,0,2.06,CL,1647611921
balimo,-8.0373346,142.9589778,24.24,98,38,1.11,PG,1647611929
lata,-10.7241726,165.7977641,26.67,82,77,2.32,SB,1647611936
geraldton,-28.77035,114.6147159,23.09,78,100,9.77,AU,1647611936
marcona,-15.2155331,-75.08303444567473,20.23,67,23,3.67,PE,1647611939
dargaville,-35.9412143,173.8685702,16.21,91,87,1.72,NZ,1647611947
angoram,-4.0562906,144.0729039,23.38,99,77,0.67,PG,1647611948
ancud,-41.8682162,-73.8287225,10.89,60,1,2.95,CL,1647611958
mareeba,-17.129513000000003,143.92421903082817,24.71,73,100,2.36,AU,1647611959
tres arroyos,-38.3770014,-60.2755685,16.42,36,100,6.27,AR,1647611959
isangel,-19.5410863,169.2810885,26.07,79,100,0.77,VU,1647611970
quatre cocos,-20.2094657,57.7705601,29.01,78,9,3.0,MU,1647611970
sumbawa,-8.5949025,117.27160682483327,19.25,95,100,1.14,ID,1647611974
nhulunbuy,-12.1804346,136.7759913,28.08,83,100,2.06,AU,1647611975
nangomba,-10.902697,38.5161362,28.03,80,88,1.27,TZ,1647611976
karamea,-41.2475885,172.1115748,11.99,86,26,2.6,NZ,1647611980
calama,-22.4623917,-68.9272181,14.22,41,0,7.72,CL,1647611983
la paz,-16.4955455,-68.1336229,10.5,81,75,2.06,BO,1647611986
poum,-20.2316547,164.029894,27.1,76,100,3.42,NC,1647611988
cachira,-13.6622886,-71.4942799,9.29,68,100,1.77,PE,1647611991
san carlos de bariloche,-41.1334421,-71.3098425,5.31,60,20,1.03,AR,1647611992
san luis,-33.3019696,-66.3369903,18.83,47,19,7.18,AR,1647611993
saint-leu,-21.1677694,55.2881932,30.04,94,17,2.82,RE,1647611994
rolim de moura,-11.727071,-61.771411,24.57,90,100,2.3,BR,1647611996
saleaula,-13.4518478,-172.3318889,28.22,68,96,6.11,WS,1647611998
waipawa,-39.9411333,176.591342,7.23,94,16,0.69,NZ,1647612002
ihosy,-22.4038122,46.129972,24.48,84,100,2.7,MG,1647612005
cairns,-16.9206657,145.7721854,26.15,100,100,5.66,AU,1647612007
brazzaville,-4.2694407,15.2712256,31.63,54,100,0.6,CG,1647612009
namibe,-15.195064,12.1458085,27.29,58,0,5.83,AO,1647612011
umzimvubu,-30.82491,28.92177617804983,23.94,42,0,3.31,ZA,1647612013
denpasar,-8.6524973,115.2191175,27.82,78,20,1.03,ID,1647612020
tonota,-21.437833,27.463376,19.72,66,100,5.84,BW,1647612022
pitimbu,-7.4728063,-34.811233,29.0,64,95,7.04,BR,1647612026
iquique,-20.2140657,-70.1524646,23.52,68,4,4.45,CL,1647612028
emerald,-23.5263118,148.1618622,25.17,60,79,5.58,AU,1647612039
labuhan,-6.891973,112.9897177,26.97,84,100,2.62,ID,1647612040
dianopolis,-11.624008,-46.819787,27.64,60,17,2.73,BR,1647612048
colares,-0.936423,-48.280254,26.67,84,100,1.08,BR,1647612060
samalaeulu,-13.5010083,-172.299895,28.0,68,98,5.78,WS,1647612061
kimbe,-5.5562921,150.1529513,26.49,86,70,0.99,PG,1647612062
esperance,-33.858228,121.8931606,25.53,46,100,9.17,AU,1647612064
kawalu,-1.9593,123.8495,29.29,74,100,5.9,ID,1647612065
pontes e lacerda,-15.2315171,-59.3349512,24.54,83,100,1.53,BR,1647612065
tshikapa,-6.4230495,20.7887691,26.84,63,100,1.73,CD,1647612072
senador pompeu,-5.5874386,-39.3730901,32.44,47,100,2.87,BR,1647612074
port moresby,-9.4743301,147.1599504,26.54,83,79,1.31,PG,1647612076
port augusta,-32.4908819,137.7639874,24.32,59,0,3.41,AU,1647612083
mvuma,-19.281896,30.531038,17.39,73,100,5.64,ZW,1647612088
honiara,-9.4310769,159.9552552,26.13,83,63,0.25,SB,1647612091
teahupoo,-17.840272,-149.22237039798483,25.01,73,4,4.02,PF,1647612102
morondava,-20.2951102,44.2786121,29.02,75,100,6.63,MG,1647612111
mercedes,-24.4504957,-54.1647255,26.44,71,66,3.16,BR,1647612114
tete,-16.160511,33.587096,25.99,83,75,4.12,MZ,1647612117
lapa,-13.250571,-43.410754,32.66,30,0,3.43,BR,1647612119
